_id;descripcion;medida;importe;espece;createdAt;updatedAt
1;CALIFICACION DE DOCUMENTOS;UNIDAD;15;1.3. 210. 1 5;22/06/2025 22:44;22/06/2025 22:44
2;EXPEDICION COPIA NOTARIALES: SEPARACION DE BIENES;FOJA;15;1.3. 210. 1 5;23/06/2025 22:44;23/06/2025 22:44
3;EXPEDICION COPIA NOTARIALES: COMPRA-VENTA;FOJA;15;1.3. 210. 1 5;24/06/2025 22:44;24/06/2025 22:44
4;EXPEDICION COPIA NOTARIAL: TRANSACCION Y RECONOCIMIENTO;FOJA;15;1.3. 210. 1 5;25/06/2025 22:44;25/06/2025 22:44
5;EXPEDICION COPIA NOTARIALES: TESTAMENTO;FOJA;15;1.3. 210. 1 5;26/06/2025 22:44;26/06/2025 22:44
6;DESARCHIVAMIENTO DE DOCUMENTO: TESTAMENTO;UNIDAD;10;1.3. 210. 1 5;27/06/2025 22:44;27/06/2025 22:44
7;SERVICIO DE CAPACITACION ARCHIVISTICA;HORA;50;1.3. 210. 1 5;28/06/2025 22:44;28/06/2025 22:44
8;DESARCHIVAMIENTO DE DOCUMENTOS: PLANILLAS;UNIDAD;10;1.3. 210. 1 5;29/06/2025 22:44;29/06/2025 22:44
9;EXPEDICION COPIA SIMPLE;FOJA;0.2;1.3. 210. 1 5;30/06/2025 22:44;30/06/2025 22:44
11;REGULARIZACION DE ESCRITURA PUBLICA: DICTAMEN TECNICO;UNIDAD;85;1.3. 210. 1 5;01/07/2025 22:44;01/07/2025 22:44
12;REGULARIZACION DE ESCRITURA PUBLICA: DILIGENCIA;UNIDAD;65;1.3. 210. 1 5;02/07/2025 22:44;02/07/2025 22:44
13;EXPEDICION COPIA CERIFICADA NOTARIAL:;FOJA;15;1.3. 210. 1 5;03/07/2025 22:44;03/07/2025 22:44
14;DESARCHIVAMIENTO DE DOCUMENTO: ESCRITURA PUBLICA;UNIDAD;10;1.3. 210. 1 5;04/07/2025 22:44;04/07/2025 22:44
15;DESARCHIVAMIENTO DE DOCUMENTO: EXPEDIENTE JUDICIAL;UNIDAD;10;1.3. 210. 1 5;05/07/2025 22:44;05/07/2025 22:44
16;DESARCHIVAMIENTO DE DOCUMENTO: IMPUESTO SUCESORIO;UNIDAD;10;1.3. 210. 1 5;06/07/2025 22:44;06/07/2025 22:44
