_id;ingresoId;tupaId;cantidad;importe;igv;detalle;createdAt;updatedAt;__v
1;38575;0001;1;15;0;;;;0
2;38575;0014;1;10;0;;;;
3;38576;0001;1;15;0;;;;
4;38576;0014;1;10;0;;;;
5;38578;0009;2;0.2;0;;;;
6;38579;0001;1;15;0;;;;
7;38579;0014;1;10;0;;;;
8;38580;0044;1;15;0;;;;
9;38581;0001;1;15;0;;;;
10;38581;0014;1;10;0;;;;
11;38582;0003;4;15;0;;;;
12;38582;0035;1;9;0;;;;
13;38583;0001;1;15;0;;;;
14;38583;0014;1;10;0;;;;
15;38584;0001;1;15;0;;;;
16;38584;0018;1;10;0;;;;
17;38585;0003;2;15;0;;;;
18;38585;0035;1;9;0;;;;
19;38586;0001;1;15;0;;;;
20;38586;0014;1;10;0;;;;
21;38587;0001;1;15;0;;;;
22;38587;0014;1;10;0;;;;
23;38588;0001;1;15;0;;;;
24;38588;0014;1;10;0;;;;
25;38589;0001;1;15;0;;;;
26;38589;0014;1;10;0;;;;
27;38590;0001;1;15;0;;;;
28;38590;0014;1;10;0;;;;
29;38591;0003;2;15;0;;;;
30;38591;0035;1;9;0;;;;
31;38592;0044;1;15;0;;;;
32;38593;0003;2;15;0;;;;
33;38593;0035;1;9;0;;;;
34;38594;0001;1;15;0;;;;
35;38594;0014;1;10;0;;;;
36;38595;0003;2;15;0;;;;
37;38595;0035;1;9;0;;;;
38;38597;0003;2;15;0;;;;
39;38597;0035;1;9;0;;;;
40;38598;0003;3;15;0;;;;
41;38598;0035;1;9;0;;;;
42;38599;0003;3;15;0;;;;
43;38599;0035;1;9;0;;;;
44;38600;0003;4;15;0;;;;
45;38600;0035;1;9;0;;;;
46;38601;0001;1;15;0;;;;
47;38601;0014;1;10;0;;;;
48;38602;0001;1;15;0;;;;
49;38602;0014;1;10;0;;;;
50;38603;0001;1;15;0;;;;
51;38603;0014;1;10;0;;;;
52;38604;0009;3;0.2;0;;;;
53;38605;0001;1;15;0;;;;
54;38605;0014;1;10;0;;;;
55;38606;0001;1;15;0;;;;
56;38606;0014;1;10;0;;;;
57;38607;0001;1;15;0;;;;
58;38607;0014;1;10;0;;;;
59;38608;0001;1;15;0;;;;
60;38608;0014;1;10;0;;;;
61;38609;0003;3;15;0;;;;
62;38609;0035;1;9;0;;;;
63;38610;0001;1;15;0;;;;
64;38610;0014;1;10;0;;;;
65;38611;0001;1;15;0;;;;
66;38611;0014;1;10;0;;;;
67;38612;0001;1;15;0;;;;
68;38612;0014;1;10;0;;;;
69;38613;0001;1;15;0;;;;
70;38613;0014;1;10;0;;;;
71;38614;0003;2;15;0;;;;
72;38614;0035;1;9;0;;;;
73;38615;0044;1;15;0;S;;;
74;38616;0001;1;15;0;;;;
75;38616;0014;1;10;0;;;;
76;38617;0001;1;15;0;;;;
77;38617;0014;1;10;0;;;;
78;38618;0001;1;15;0;;;;
79;38618;0014;1;10;0;;;;
80;38619;0003;3;15;0;;;;
81;38619;0035;1;9;0;;;;
82;38620;0003;2;15;0;;;;
83;38620;0035;1;9;0;;;;
84;38621;0003;2;15;0;;;;
85;38621;0035;1;9;0;;;;
86;38622;0003;2;15;0;;;;
87;38622;0035;1;9;0;;;;
88;38623;0001;1;15;0;;;;
89;38623;0014;1;10;0;;;;
90;38624;0003;2;15;0;;;;
91;38624;0035;1;9;0;;;;
92;38625;0001;1;15;0;;;;
93;38625;0014;1;10;0;;;;
94;38626;0001;1;15;0;;;;
95;38626;0014;1;10;0;;;;
96;38627;0001;1;15;0;;;;
97;38627;0014;1;10;0;;;;
98;38628;0001;1;15;0;;;;
99;38628;0014;1;10;0;;;;
100;38629;0023;1;10;0;NOTARIO-ARMANDO ZEGARAR AÑO-1961;;;
101;38630;0001;1;15;0;;;;
102;38630;0014;1;10;0;;;;
103;38631;0001;1;15;0;;;;
104;38631;0014;1;10;0;;;;
105;38632;0001;1;15;0;;;;
106;38632;0014;1;10;0;;;;
107;38633;0001;2;15;0;;;;
108;38633;0035;1;9;0;;;;
109;38634;0001;1;15;0;;;;
110;38634;0014;1;10;0;;;;
111;38635;0044;1;15;0;;;;
112;38636;0044;1;15;0;;;;
113;38637;0001;1;15;0;;;;
114;38637;0014;1;10;0;;;;
115;38638;0044;1;15;0;;;;
116;38639;0001;1;15;0;;;;
117;38639;0018;1;10;0;;;;
118;38641;0003;4;15;0;;;;
119;38642;0001;1;15;0;;;;
120;38642;0019;1;10;0;;;;
121;38643;0003;4;15;0;;;;
122;38644;0003;3;15;0;;;;
123;38644;0035;1;9;0;;;;
124;38645;0001;1;15;0;;;;
125;38645;0014;1;10;0;;;;
126;38646;0044;1;15;0;;;;
127;38647;0001;1;15;0;;;;
128;38647;0018;1;10;0;;;;
129;38648;0001;1;15;0;;;;
130;38648;0018;1;10;0;;;;
131;38650;0001;1;15;0;;;;
132;38650;0014;1;10;0;;;;
133;38651;0003;2;15;0;;;;
134;38651;0035;1;9;0;;;;
135;38652;0001;1;15;0;;;;
136;38652;0014;1;10;0;;;;
137;38653;0001;1;15;0;;;;
138;38653;0014;1;10;0;;;;
139;38654;0001;1;15;0;;;;
140;38654;0014;1;10;0;;;;
141;38655;0014;1;10;0;;;;
142;38655;0001;1;15;0;;;;
143;38656;0003;2;15;0;;;;
144;38656;0035;1;9;0;;;;
145;38657;0003;3;15;0;;;;
146;38657;0035;1;9;0;;;;
147;38658;0001;1;15;0;;;;
148;38658;0014;1;10;0;;;;
149;38659;0009;3;0.2;0;;;;
150;38660;0001;1;15;0;;;;
151;38660;0014;1;10;0;;;;
152;38661;0003;2;15;0;;;;
153;38661;0035;1;9;0;;;;
154;38662;0001;1;15;0;;;;
155;38662;0014;1;10;0;;;;
156;38663;0003;4;15;0;;;;
157;38664;0009;2;0.2;0;;;;
158;38665;0001;1;15;0;;;;
159;38665;0015;1;10;0;;;;
160;38666;0001;1;15;0;;;;
161;38666;0014;1;10;0;;;;
162;38667;0009;16;0.2;0;;;;
163;38668;0003;3;15;0;;;;
164;38669;0023;1;10;0;NOTARIO ANIBAL MACASI-AÑO 1973;;;
165;38670;0001;1;15;0;;;;
166;38670;0014;1;10;0;;;;
167;38671;0003;2;15;0;;;;
168;38671;0035;1;9;0;;;;
169;38672;0003;3;15;0;;;;
170;38672;0035;1;9;0;;;;
171;38673;0003;2;15;0;;;;
172;38673;0035;1;9;0;;;;
173;38674;0023;1;10;0;NOTARIO-ROLANDO ROKJAS ARROYO AÑO-1973;;;
174;38675;0001;1;15;0;;;;
175;38675;0014;1;10;0;;;;
176;38676;0001;1;15;0;;;;
177;38676;0014;1;10;0;;;;
178;38677;0003;2;15;0;;;;
179;38678;0001;1;15;0;;;;
180;38678;0014;1;10;0;;;;
181;38679;0023;1;10;0;NOTARIO-EMILIO ORIHUELA AÑO-1973;;;
182;38680;0001;1;15;0;;;;
183;38680;0014;1;10;0;;;;
184;38681;0001;1;15;0;;;;
185;38681;0014;1;10;0;;;;
186;38682;0003;5;15;0;;;;
187;38682;0035;1;9;0;;;;
188;38683;0003;6;15;0;IGLESIA CASA DE ORACION;;;
189;38683;0035;1;9;0;;;;
190;38685;0003;7;15;0;IGLESIA CASA DE ORACION;;;
191;38685;0035;1;9;0;;;;
192;38686;0001;1;15;0;;;;
